"pitch_type","game_date","game_year","player_name","batter","pitcher","events","game_type","stand","p_throws","hit_location","bb_type","balls","strikes","outs_when_up","inning","exit_velo","launch_angle","pitch_name","bat_score","fld_score","bat_speed","swing_length","age_pit","age_bat","swing_path_tilt","stan_batter_id","height","weight"
"ST","2024-03-05",2024,"Carroll, Corbin",682998,658648,"field_out","S","L","R",4,"ground_ball",0,1,1,4,76.2,-6,"Sweeper",5,2,NA,NA,27,24,NA,1,70,165
"CH","2024-03-05",2024,"Goldschmidt, Paul",502671,663978,"sac_fly","S","R","R",8,"fly_ball",0,1,1,3,88.5,31,"Changeup",1,1,NA,NA,28,37,NA,2,75,220
"FF","2024-03-05",2024,"Suárez, Eugenio",553993,658648,"home_run","S","R","R",NA,"fly_ball",0,0,1,3,109.3,23,"4-Seam Fastball",2,0,NA,NA,27,33,NA,3,71,213
"CU","2024-03-05",2024,"Donovan, Brendan",680977,663978,"field_out","S","L","R",4,"ground_ball",2,2,0,3,96.2,-8,"Curveball",1,1,NA,NA,28,27,NA,4,73,195
"FF","2024-03-05",2024,"Gurriel Jr., Lourdes",666971,658648,"single","S","R","R",9,"ground_ball",2,2,0,3,89,7,"4-Seam Fastball",1,0,NA,NA,27,31,NA,5,75,215
"SI","2024-03-05",2024,"Marte, Ketel",606466,658648,"single","S","L","R",8,"line_drive",3,2,0,3,87.6,9,"Sinker",1,0,NA,NA,27,31,NA,6,73,210
"FF","2024-03-05",2024,"Carroll, Corbin",682998,658648,"single","S","L","R",8,"ground_ball",1,0,0,3,86.3,6,"4-Seam Fastball",1,0,NA,NA,27,24,NA,1,70,165
"CU","2024-03-05",2024,"Perdomo, Geraldo",672695,658648,"field_error","S","L","R",4,"ground_ball",1,0,1,2,75.5,5,"Curveball",1,0,NA,NA,27,25,NA,7,74,203
"SI","2024-03-05",2024,"Bichette, Bo",666182,682990,"field_out","S","R","R",6,"line_drive",3,1,2,3,54.9,34,"Sinker",1,0,NA,NA,24,26,NA,8,72,190
"CU","2024-03-05",2024,"Bichette, Bo",666182,663559,"single","S","R","L",7,"line_drive",1,1,2,5,101.9,12,"Curveball",2,0,NA,NA,27,26,NA,8,72,190
"FF","2024-03-05",2024,"Reynolds, Bryan",668804,669952,"field_out","S","L","R",4,"ground_ball",0,1,2,5,99.7,-1,"4-Seam Fastball",1,3,NA,NA,30,29,NA,9,75,205
"FF","2024-03-05",2024,"Alonso, Pete",624413,668684,"double","S","R","L",9,"fly_ball",0,0,0,2,91.4,27,"4-Seam Fastball",0,0,NA,NA,30,30,NA,10,74,253
"SL","2024-03-05",2024,"Winn, Masyn",691026,702065,"field_out","S","R","L",3,"popup",2,0,2,3,77.5,60,"Slider",5,1,NA,NA,29,22,NA,11,71,180
"CH","2024-03-05",2024,"Arenado, Nolan",571448,663978,"field_out","S","R","R",5,"popup",2,0,2,1,79.3,78,"Changeup",1,1,NA,NA,28,33,NA,12,74,215
"SL","2024-03-05",2024,"Lindor, Francisco",596019,660787,"double","S","L","R",9,"fly_ball",0,0,1,3,96.8,26,"Slider",1,0,NA,NA,27,31,NA,13,71,190
"SL","2024-03-05",2024,"Volpe, Anthony",683011,641360,"field_out","S","R","R",7,"fly_ball",2,2,0,5,81.7,48,"Slider",1,5,NA,NA,29,23,NA,14,69,180
"SL","2024-03-05",2024,"Schwarber, Kyle",656941,605498,"field_out","S","L","L",3,"ground_ball",0,0,2,5,100.4,-9,"Slider",1,1,NA,NA,32,31,NA,15,72,229
"SL","2024-03-05",2024,"Winn, Masyn",691026,660896,"field_out","S","R","R",6,"ground_ball",3,2,1,6,106.3,0,"Slider",5,3,NA,NA,29,22,NA,11,71,180
"FF","2024-03-05",2024,"Reynolds, Bryan",668804,621244,"field_out","S","L","R",5,"ground_ball",3,2,1,1,89.9,-29,"4-Seam Fastball",0,0,NA,NA,30,29,NA,9,75,205
"SL","2024-03-05",2024,"Guerrero Jr., Vladimir",665489,683003,"grounded_into_double_play","S","R","R",5,"ground_ball",0,2,1,1,91.7,-6,"Slider",0,0,NA,NA,23,25,NA,16,72,245
"SL","2024-03-05",2024,"Donovan, Brendan",680977,687396,"field_out","S","L","L",4,"ground_ball",2,2,1,4,69.8,-10,"Slider",5,2,NA,NA,27,27,NA,4,73,195
"ST","2024-03-05",2024,"Gurriel Jr., Lourdes",666971,658648,"field_out","S","R","R",6,"ground_ball",0,1,2,1,96.4,1,"Sweeper",0,0,NA,NA,27,31,NA,5,75,215
"FF","2024-03-05",2024,"Goldschmidt, Paul",502671,663978,"home_run","S","R","R",NA,"fly_ball",3,1,1,1,105.5,28,"4-Seam Fastball",0,1,NA,NA,28,37,NA,2,75,220
"SI","2024-03-05",2024,"Nimmo, Brandon",607043,605280,"field_out","S","L","R",6,"line_drive",1,0,1,4,99.1,7,"Sinker",5,0,NA,NA,31,31,NA,17,75,202
"FC","2024-03-05",2024,"Alonso, Pete",624413,642701,"field_out","S","R","R",6,"ground_ball",0,2,1,5,41.7,-36,"Cutter",5,3,NA,NA,28,30,NA,10,74,253
"FF","2024-03-05",2024,"Marte, Ketel",606466,658648,"field_out","S","L","R",7,"fly_ball",2,0,1,1,93.3,51,"4-Seam Fastball",0,0,NA,NA,27,31,NA,6,73,210
"FF","2024-03-05",2024,"Turner, Trea",607208,544150,"double","S","R","R",8,"fly_ball",1,1,1,1,107.6,25,"4-Seam Fastball",0,1,NA,NA,35,31,NA,18,74,185
"SL","2024-03-05",2024,"Bichette, Bo",666182,683003,"field_out","S","R","R",7,"line_drive",1,1,0,1,102.8,18,"Slider",0,0,NA,NA,23,26,NA,8,72,190
"FF","2024-03-05",2024,"Clement, Ernie",676391,696155,"field_out","S","R","R",6,"ground_ball",2,1,1,9,103.9,3,"4-Seam Fastball",5,6,NA,NA,24,28,NA,19,72,170
