"birthYear","nameFirst","nameLast","nameGiven","weight","height","bats","throws"
1981,"David","Aardsma","David Allan",215,75,"R","R"
1934,"Hank","Aaron","Henry Louis",180,72,"R","R"
1939,"Tommie","Aaron","Tommie Lee",190,75,"R","R"
1954,"Don","Aase","Donald William",190,75,"R","R"
1972,"Andy","Abad","Fausto Andres",184,73,"L","L"
1985,"Fernando","Abad","Fernando Antonio",235,74,"L","L"
1850,"John","Abadie","John W.",192,72,"R","R"
1877,"Ed","Abbaticchio","Edward James",170,71,"R","R"
1869,"Bert","Abbey","Bert Wood",175,71,"R","R"
1866,"Charlie","Abbey","Charles S.",169,68,"L","L"
1999,"Andrew","Abbott","Andrew Cole",192,72,"L","L"
1995,"Cory","Abbott","Cory James",220,74,"R","R"
1862,"Dan","Abbott","Leander Franklin",190,71,"R","R"
1874,"Fred","Abbott","Harry Frederick",180,70,"R","R"
1951,"Glenn","Abbott","William Glenn",200,78,"R","R"
1972,"Jeff","Abbott","Jeffrey William",190,74,"R","L"
1967,"Jim","Abbott","James Anthony",200,75,"L","L"
1969,"Kurt","Abbott","Kurt Thomas",180,71,"R","R"
1968,"Kyle","Abbott","Lawrence Kyle",200,76,"L","L"
1886,"Ody","Abbott","Ody Cleon",165,69,"L","R"
1967,"Paul","Abbott","Paul David",185,75,"R","R"
1927,"Al","Aber","Albert Julius",195,74,"L","L"
1850,"Frank","Abercrombie","Francis Patterson",NA,NA,NA,NA
1980,"Reggie","Abercrombie","Reginald Damascus",215,75,"R","R"
1929,"Bill","Abernathie","William Edward",190,70,"R","R"
1977,"Brent","Abernathy","Michael Brent",185,73,"R","R"
1921,"Ted","Abernathy","Talmadge Lafayette",210,74,"R","L"
1933,"Ted","Abernathy","Theodore Wade",215,76,"R","R"
1915,"Woody","Abernathy","Virgil Woodrow",170,72,"L","L"
1921,"Cliff","Aberson","Clifford Alexander",200,72,"R","R"
1883,"Harry","Ables","Harry Terrell",200,74,"R","L"
1966,"Shawn","Abner","Shawn Wesley",190,73,"R","R"
1924,"Cal","Abrams","Calvin Ross",185,72,"L","L"
2000,"CJ","Abrams","Paul Christopher",185,74,"L","R"
1897,"George","Abrams","George Allen",170,69,"R","R"
1962,"Johnny","Abrego","Johnny Ray",185,72,"R","R"
1995,"Albert","Abreu","Albert Enmanuel",190,74,"R","R"
1974,"Bobby","Abreu","Bob Kelly",220,72,"L","R"
1997,"Bryan","Abreu","Bryan Enrique",225,73,"R","R"
1913,"Joe","Abreu","Joseph Lawrence",160,68,"R","R"
1987,"Jose","Abreu","Jose Dariel",235,75,"R","R"
1985,"Juan","Abreu","Juan de Dios",185,72,"R","R"
1984,"Tony","Abreu","Etanislao Toni",200,70,"B","R"
1999,"Wilyer","Abreu","Wilyer David",215,70,"L","L"
1977,"Winston","Abreu","Winston Leonardo",170,74,"R","R"
1883,"Bill","Abstein","William Henry",185,72,"R","R"
1981,"Jeremy","Accardo","Jeremiah Lee",195,72,"R","R"
1994,"Domingo","Acevedo","Domingo Antonio",240,79,"R","R"
1977,"Jose","Acevedo","Jose Omar",185,72,"R","R"
1970,"Juan","Acevedo","Juan Carlos",245,74,"R","R"
1982,"Alfredo","Aceves","Alfredo",205,74,"R","R"
1988,"A. J.","Achter","Adam Joseph",215,77,"R","R"
1958,"Jim","Acker","James Justin",210,74,"R","R"
1930,"Tom","Acker","Thomas James",215,76,"R","R"
1988,"Dustin","Ackley","Dustin Michael",205,73,"L","R"
1937,"Fritz","Ackley","Florian Frederick",202,73,"L","R"
1946,"Cy","Acosta","Cecilio",165,70,"R","R"
1944,"Ed","Acosta","Eduardo Elixbet",215,77,"B","R"
1891,"Jose","Acosta","Jose",134,66,"R","R"
1981,"Manny","Acosta","Manuel Alcides",215,76,"R","R"
1896,"Merito","Acosta","Baldomero Pedro",140,67,"L","L"
1968,"Mark","Acre","Mark Robert",235,80,"R","R"
1969,"Manny","Acta","Manuel Elias",172,74,"R","R"
1998,"Garrett","Acton","Garrett Patrick",215,74,"L","R"
2002,"Luisangel","Acuña","Luisangel Jose",181,68,"R","R"
1997,"Ronald","Acuña","Ronald Jose",205,72,"R","R"
1913,"Bill","Adair","Marion Danne",168,72,"R","R"
1936,"Jerry","Adair","Kenneth Jerry",175,72,"R","R"
1907,"Jimmy","Adair","James Aubrey",154,70,"R","R"
1991,"Jason","Adam","Jason Kendall",229,75,"R","R"
1991,"Cristhian","Adames","Cristhian Pascual",217,71,"B","R"
1995,"Willy","Adames","Willy Rafael",210,72,"R","R"
1910,"Ace","Adams","Ace Townsend",182,70,"R","R"
1986,"Austin","Adams","Austin David",205,71,"R","R"
1991,"Austin","Adams","Austin Lance",220,75,"R","R"
1882,"Babe","Adams","Charles Benjamin",185,71,"L","R"
1891,"Bert","Adams","John Bertram",185,73,"B","R"
1907,"Bob","Adams","Robert Andrew",165,72,"R","R"
1901,"Bob","Adams","Robert Burnette",168,71,"R","R"
1952,"Bob","Adams","Robert Melvin",200,74,"R","R"
1921,"Bobby","Adams","Robert Henry",160,70,"R","R"
1915,"Buster","Adams","Elvin Clark",180,72,"R","R"
1994,"Chance","Adams","Chance",215,73,"R","R"
1887,"Dan","Adams","Daniel Leslie",165,71,"R","R"
1987,"David","Adams","David Lee",205,74,"R","R"
1920,"Dick","Adams","Richard Leroy",185,72,"R","L"
1814,"Doc","Adams","Daniel Lucius",NA,NA,NA,NA
1943,"Doug","Adams","Harold Douglas",185,75,"L","R"
1855,"George","Adams","George Henry",175,66,"R","R"
1947,"Glenn","Adams","Glenn Charles",180,73,"L","R"
1928,"Herb","Adams","Herbert Loren",160,69,"L","L"
